53.3498,-6.2603,D01XYZ
53.3891,-6.1396,D13H5R6
53.3942,-6.1623,D13R3D1
53.3884,-6.0721,D13CH92
53.3136,-6.3243,D12T4R3
53.3298,-6.2162,D04KKX5
53.3881,-6.1556,D05P6H4
53.4522,-6.1541,K36VW34
53.3193,-6.3906,D22FW14
53.3823,-6.3789,D15W34E
53.3849,-6.2941,D11WP37E
53.2749,-6.1069,A96X4E5
53.7204,-6.3408,A92H7R9
54.2766,-8.4761,F91YH01
52.6538,-7.2476,R95D327
51.8985,-8.4756,T12KX99
53.2707,-9.0568,H91V3Y8
52.3369,-7.6139,X91H4E8
54.3424,-6.6527,BT618H9
55.0069,-7.3183,F93KX72
52.668,-8.6305,V94HPX4
53.346,-7.4619,N37XP52
53.7125,-7.1119,C15K6W4
53.2063,-6.666,W12K8H5
54.2697,-6.9583,BT60AZ1
53.3721,-8.2201,H62W3K7
53.8506,-9.2985,F23YW8H
52.3964,-6.9369,Y35YR6E
54.7167,-7.7959,BT81W7X
52.142,-9.5168,V92W8H5
53.0353,-7.2997,R32FP62
53.9934,-6.4169,A81RY84
53.2258,-7.5499,R42X9T8
52.8417,-8.9806,R51HX92
53.0148,-7.8058,R32T6K8
54.6004,-5.9301,BT13QX4
53.1291,-6.0657,A63WX92
54.2103,-7.9484,H14XP93
54.5039,-6.0457,BT62HX7
53.14,-7.1974,R45PX82
52.7208,-6.8879,R95KP94
53.6278,-6.8263,N39YW5R
